,del_weeks_coeff,del_weeks_coeff_err,N_items_in_the_sub_cat_1,has_enough_stat
DEKORATION,0.0053,0.0022,1,False
WOLLTEPPICHE,0.0042,0.004,1,False
BETTEN,0.0015,0.0008,3,False
BÄNKE & HOCKER,0.0008,0.0006,9,False
ESSGRUPPEN,0.0008,0.0006,1,False
ZUBEHÖR,0.0003,0.0013,6,False
GARTEN LOUNGEMÖBEL,0.0002,0.0003,17,False
POLSTERGARNITUREN & SETS,0.0002,0.0002,2,False
SCHMINKTISCHE,0.0001,0.0002,3,False
BETTBÄNKE&BETTTRUHEN,0.0001,0.0003,5,False
BUFFETS,-0.0,0.0,18,False
INNENLEUCHTEN,0.0,0.0002,151,False
BIGSOFAS,0.0,0.0,13,False
TV-MEDIAMÖBEL,-0.0,0.0,214,False
WOHNLANDSCHAFTEN,0.0,0.0,41,False
RECAMIEREN,-0.0,0.0,25,False
HIMMELBETTEN,-0.0,0.0001,3,False
SCHLAFZIMMERSETS,-0.0,0.0,11,False
GÄSTEBETTEN,-0.0,0.0,1,False
WASCHTISCHE,-0.0,0.0001,2,False
VITRINEN & SCHRÄNKE,-0.0001,0.0,77,True
SCHREIBTISCHE,-0.0001,0.0,108,True
REGALE,-0.0001,0.0,136,True
EINZELSOFAS,-0.0001,0.0,129,True
ECKSOFAS,-0.0001,0.0,204,True
BOXSPRINGBETTEN,-0.0001,0.0,197,True
BAR,-0.0001,0.0,4,True
SEKRETÄRE,-0.0001,0.0001,15,False
KOMMODEN,-0.0001,0.0001,32,False
BETTEN & ZUBEHÖR,-0.0001,0.0001,17,False
SITZWÜRFEL & POLSTERHOCKER,-0.0001,0.0002,9,False
KÜCHE,-0.0001,0.0001,13,False
BETTGESTELLE,-0.0002,0.0,251,True
SESSEL,-0.0002,0.0,207,True
SCHLAFSOFAS,-0.0002,0.0,165,True
KLEIDERSCHRÄNKE & ZUBEHÖR,-0.0002,0.0,293,True
KOMMODEN & SIDEBOARDS,-0.0002,0.0,306,True
TISCHE,-0.0002,0.0,165,True
BÄNKE,-0.0002,0.0,44,True
GARDEROBEN,-0.0002,0.0,129,True
RELAXLIEGEN,-0.0002,0.0001,9,False
SCHRÄNKE,-0.0002,0.0001,9,False
ESSZIMMERSTÜHLE,-0.0003,0.0,332,True
ESSTISCHE,-0.0003,0.0,165,True
SCHUHSCHRÄNKE,-0.0003,0.0001,75,False
BARTISCHE,-0.0003,0.0001,7,False
BADSET,-0.0003,0.0001,22,False
SCHRÄNKE & ZUBEHÖR,-0.0003,0.0001,12,False
BÜROSCHRÄNKE,-0.0004,0.0001,30,True
NACHTKOMMODEN,-0.0004,0.0001,60,True
GARTENSTÜHLE,-0.0004,0.0004,18,False
GARTENTISCHE,-0.0004,0.0002,14,False
BADSCHRÄNKE,-0.0005,0.0,108,True
OUTDOOR-TEPPICHE,-0.0005,0.0001,4,True
KOMPLETTPROGRAMME & SETS,-0.0005,0.0001,62,True
BÜRO-KOMPLETTSETS,-0.0005,0.0001,3,True
WICKELKOMMODEN & ZUBEHÖR,-0.0005,0.0003,3,False
N/A,-0.0006,0.0003,1,False
BADACCESSOIRES,-0.0007,0.0021,3,False
BÜROSTÜHLE,-0.0008,0.0,67,True
BARHOCKER,-0.0009,0.0001,60,True
KURZFLORTEPPICHE,-0.0011,0.0005,15,False
HOCHFLORTEPPICHE & SHAGGYS,-0.0011,0.0004,8,False
MATRATZEN,-0.0012,0.0002,68,True
GARTENLIEGE,-0.0012,0.0005,12,False
GARTENZUBEHÖR,-0.0012,0.0005,13,False
BADREGALE,-0.0012,0.0005,1,False
WANDEKORATION,-0.0013,0.001,1,False
KISSEN,-0.0015,0.0006,10,False
LATTENROSTE,-0.0016,0.0003,37,True
MATRATZENTOPPER,-0.0016,0.0004,8,True
SPIEGEL,-0.0029,0.0045,6,False
SITZGELEGENHEITEN,-0.0034,0.0054,2,False
