,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err
0,TEPPICHE & BODENBELÄGE,exclusive,Import,0,0.56,0.014
1,TEPPICHE & BODENBELÄGE,exclusive,Import,1,0.525,0.014
2,TEPPICHE & BODENBELÄGE,exclusive,EE,0,0.418,0.013
3,TEPPICHE & BODENBELÄGE,exclusive,EE,1,0.383,0.012
4,TEPPICHE & BODENBELÄGE,exclusive,Domestic,0,0.38,0.012
5,TEPPICHE & BODENBELÄGE,exclusive,Domestic,1,0.344,0.012
6,TEPPICHE & BODENBELÄGE,other,Import,0,0.49,0.015
7,TEPPICHE & BODENBELÄGE,other,Import,1,0.455,0.015
8,TEPPICHE & BODENBELÄGE,other,EE,0,0.349,0.014
9,TEPPICHE & BODENBELÄGE,other,EE,1,0.313,0.013
10,TEPPICHE & BODENBELÄGE,other,Domestic,0,0.31,0.013
11,TEPPICHE & BODENBELÄGE,other,Domestic,1,0.275,0.013
12,TEPPICHE & BODENBELÄGE,thirdParty,Import,0,0.48,0.015
13,TEPPICHE & BODENBELÄGE,thirdParty,Import,1,0.444,0.015
14,TEPPICHE & BODENBELÄGE,thirdParty,EE,0,0.338,0.014
15,TEPPICHE & BODENBELÄGE,thirdParty,EE,1,0.303,0.013
16,TEPPICHE & BODENBELÄGE,thirdParty,Domestic,0,0.299,0.013
17,TEPPICHE & BODENBELÄGE,thirdParty,Domestic,1,0.264,0.013
18,TEPPICHE & BODENBELÄGE,ownDeveloped,Import,0,0.552,0.015
19,TEPPICHE & BODENBELÄGE,ownDeveloped,Import,1,0.516,0.015
20,TEPPICHE & BODENBELÄGE,ownDeveloped,EE,0,0.41,0.014
21,TEPPICHE & BODENBELÄGE,ownDeveloped,EE,1,0.375,0.014
22,TEPPICHE & BODENBELÄGE,ownDeveloped,Domestic,0,0.371,0.014
23,TEPPICHE & BODENBELÄGE,ownDeveloped,Domestic,1,0.336,0.013
24,TEPPICHE & BODENBELÄGE,whiteLabel,Import,0,0.491,0.015
25,TEPPICHE & BODENBELÄGE,whiteLabel,Import,1,0.456,0.015
26,TEPPICHE & BODENBELÄGE,whiteLabel,EE,0,0.35,0.013
27,TEPPICHE & BODENBELÄGE,whiteLabel,EE,1,0.315,0.013
28,TEPPICHE & BODENBELÄGE,whiteLabel,Domestic,0,0.311,0.013
29,TEPPICHE & BODENBELÄGE,whiteLabel,Domestic,1,0.276,0.013
30,HAUSHALT,exclusive,Import,0,0.315,0.048
31,HAUSHALT,exclusive,Import,1,0.279,0.048
32,HAUSHALT,exclusive,EE,0,0.173,0.048
