,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err
0,TEPPICHE & BODENBELÄGE,exclusive,Import,mto,0.43,0.012
1,TEPPICHE & BODENBELÄGE,exclusive,Import,wh,0.437,0.012
2,TEPPICHE & BODENBELÄGE,exclusive,Import,dropship,0.426,0.012
3,TEPPICHE & BODENBELÄGE,exclusive,EE,mto,0.364,0.012
4,TEPPICHE & BODENBELÄGE,exclusive,EE,wh,0.371,0.012
5,TEPPICHE & BODENBELÄGE,exclusive,EE,dropship,0.36,0.012
6,TEPPICHE & BODENBELÄGE,exclusive,Domestic,mto,0.336,0.012
7,TEPPICHE & BODENBELÄGE,exclusive,Domestic,wh,0.343,0.012
8,TEPPICHE & BODENBELÄGE,exclusive,Domestic,dropship,0.332,0.012
9,TEPPICHE & BODENBELÄGE,other,Import,mto,0.415,0.012
10,TEPPICHE & BODENBELÄGE,other,Import,wh,0.422,0.012
11,TEPPICHE & BODENBELÄGE,other,Import,dropship,0.411,0.012
12,TEPPICHE & BODENBELÄGE,other,EE,mto,0.349,0.012
13,TEPPICHE & BODENBELÄGE,other,EE,wh,0.356,0.012
14,TEPPICHE & BODENBELÄGE,other,EE,dropship,0.345,0.012
15,TEPPICHE & BODENBELÄGE,other,Domestic,mto,0.321,0.012
16,TEPPICHE & BODENBELÄGE,other,Domestic,wh,0.328,0.012
17,TEPPICHE & BODENBELÄGE,other,Domestic,dropship,0.317,0.012
18,TEPPICHE & BODENBELÄGE,thirdParty,Import,mto,0.403,0.012
19,TEPPICHE & BODENBELÄGE,thirdParty,Import,wh,0.409,0.012
20,TEPPICHE & BODENBELÄGE,thirdParty,Import,dropship,0.398,0.012
21,TEPPICHE & BODENBELÄGE,thirdParty,EE,mto,0.337,0.012
22,TEPPICHE & BODENBELÄGE,thirdParty,EE,wh,0.344,0.012
23,TEPPICHE & BODENBELÄGE,thirdParty,EE,dropship,0.332,0.012
24,TEPPICHE & BODENBELÄGE,thirdParty,Domestic,mto,0.309,0.012
25,TEPPICHE & BODENBELÄGE,thirdParty,Domestic,wh,0.316,0.012
26,TEPPICHE & BODENBELÄGE,thirdParty,Domestic,dropship,0.304,0.012
27,TEPPICHE & BODENBELÄGE,ownDeveloped,Import,mto,0.431,0.012
28,TEPPICHE & BODENBELÄGE,ownDeveloped,Import,wh,0.438,0.012
29,TEPPICHE & BODENBELÄGE,ownDeveloped,Import,dropship,0.426,0.012
30,TEPPICHE & BODENBELÄGE,ownDeveloped,EE,mto,0.365,0.012
31,TEPPICHE & BODENBELÄGE,ownDeveloped,EE,wh,0.372,0.012
32,TEPPICHE & BODENBELÄGE,ownDeveloped,EE,dropship,0.36,0.012
33,TEPPICHE & BODENBELÄGE,ownDeveloped,Domestic,mto,0.337,0.012
34,TEPPICHE & BODENBELÄGE,ownDeveloped,Domestic,wh,0.344,0.012
35,TEPPICHE & BODENBELÄGE,ownDeveloped,Domestic,dropship,0.333,0.012
36,TEPPICHE & BODENBELÄGE,whiteLabel,Import,mto,0.408,0.012
37,TEPPICHE & BODENBELÄGE,whiteLabel,Import,wh,0.415,0.012
38,TEPPICHE & BODENBELÄGE,whiteLabel,Import,dropship,0.404,0.012
39,TEPPICHE & BODENBELÄGE,whiteLabel,EE,mto,0.342,0.012
40,TEPPICHE & BODENBELÄGE,whiteLabel,EE,wh,0.349,0.012
41,TEPPICHE & BODENBELÄGE,whiteLabel,EE,dropship,0.338,0.012
42,TEPPICHE & BODENBELÄGE,whiteLabel,Domestic,mto,0.315,0.012
43,TEPPICHE & BODENBELÄGE,whiteLabel,Domestic,wh,0.321,0.012
44,TEPPICHE & BODENBELÄGE,whiteLabel,Domestic,dropship,0.31,0.012
45,HAUSHALT,exclusive,Import,mto,0.181,0.047
46,HAUSHALT,exclusive,Import,wh,0.188,0.047
47,HAUSHALT,exclusive,Import,dropship,0.177,0.047
48,HAUSHALT,exclusive,EE,mto,0.115,0.047
49,HAUSHALT,exclusive,EE,wh,0.122,0.047
50,HAUSHALT,exclusive,EE,dropship,0.111,0.047
51,HAUSHALT,exclusive,Domestic,mto,0.087,0.047
