,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err,beta_one,beta_one_err
0,TEPPICHE & BODENBELÄGE,exclusive,Import,0,0.56,0.014,0.445,0.021
1,TEPPICHE & BODENBELÄGE,exclusive,Import,1,0.525,0.014,0.413,0.025
2,TEPPICHE & BODENBELÄGE,exclusive,EE,0,0.418,0.013,0.378,0.021
3,TEPPICHE & BODENBELÄGE,exclusive,EE,1,0.383,0.012,0.346,0.025
4,TEPPICHE & BODENBELÄGE,exclusive,Domestic,0,0.38,0.012,0.356,0.021
5,TEPPICHE & BODENBELÄGE,exclusive,Domestic,1,0.344,0.012,0.324,0.025
6,TEPPICHE & BODENBELÄGE,other,Import,0,0.49,0.015,0.43,0.021
7,TEPPICHE & BODENBELÄGE,other,Import,1,0.455,0.015,0.397,0.026
8,TEPPICHE & BODENBELÄGE,other,EE,0,0.349,0.014,0.363,0.021
9,TEPPICHE & BODENBELÄGE,other,EE,1,0.313,0.013,0.33,0.026
10,TEPPICHE & BODENBELÄGE,other,Domestic,0,0.31,0.013,0.341,0.021
11,TEPPICHE & BODENBELÄGE,other,Domestic,1,0.275,0.013,0.308,0.026
12,TEPPICHE & BODENBELÄGE,thirdParty,Import,0,0.48,0.015,0.415,0.021
13,TEPPICHE & BODENBELÄGE,thirdParty,Import,1,0.444,0.015,0.383,0.026
14,TEPPICHE & BODENBELÄGE,thirdParty,EE,0,0.338,0.014,0.348,0.021
15,TEPPICHE & BODENBELÄGE,thirdParty,EE,1,0.303,0.013,0.316,0.026
16,TEPPICHE & BODENBELÄGE,thirdParty,Domestic,0,0.299,0.013,0.326,0.021
17,TEPPICHE & BODENBELÄGE,thirdParty,Domestic,1,0.264,0.013,0.294,0.025
18,TEPPICHE & BODENBELÄGE,ownDeveloped,Import,0,0.552,0.015,0.446,0.021
19,TEPPICHE & BODENBELÄGE,ownDeveloped,Import,1,0.516,0.015,0.413,0.026
20,TEPPICHE & BODENBELÄGE,ownDeveloped,EE,0,0.41,0.014,0.379,0.021
21,TEPPICHE & BODENBELÄGE,ownDeveloped,EE,1,0.375,0.014,0.346,0.026
22,TEPPICHE & BODENBELÄGE,ownDeveloped,Domestic,0,0.371,0.014,0.357,0.021
23,TEPPICHE & BODENBELÄGE,ownDeveloped,Domestic,1,0.336,0.013,0.324,0.026
24,TEPPICHE & BODENBELÄGE,whiteLabel,Import,0,0.491,0.015,0.421,0.021
25,TEPPICHE & BODENBELÄGE,whiteLabel,Import,1,0.456,0.015,0.389,0.025
26,TEPPICHE & BODENBELÄGE,whiteLabel,EE,0,0.35,0.013,0.354,0.021
27,TEPPICHE & BODENBELÄGE,whiteLabel,EE,1,0.315,0.013,0.322,0.026
28,TEPPICHE & BODENBELÄGE,whiteLabel,Domestic,0,0.311,0.013,0.332,0.021
29,TEPPICHE & BODENBELÄGE,whiteLabel,Domestic,1,0.276,0.013,0.3,0.025
30,HAUSHALT,exclusive,Import,0,0.315,0.048,0.174,0.05
31,HAUSHALT,exclusive,Import,1,0.279,0.048,0.25,0.049
32,HAUSHALT,exclusive,EE,0,0.173,0.048,0.108,0.05
33,HAUSHALT,exclusive,EE,1,0.138,0.047,0.184,0.049
34,HAUSHALT,exclusive,Domestic,0,0.134,0.047,0.086,0.05
35,HAUSHALT,exclusive,Domestic,1,0.099,0.047,0.162,0.049
36,HAUSHALT,other,Import,0,0.245,0.048,0.159,0.05
37,HAUSHALT,other,Import,1,0.21,0.048,0.235,0.049
38,HAUSHALT,other,EE,0,0.103,0.048,0.092,0.05
39,HAUSHALT,other,EE,1,0.068,0.048,0.168,0.049
40,HAUSHALT,other,Domestic,0,0.065,0.048,0.07,0.05
41,HAUSHALT,other,Domestic,1,0.029,0.048,0.146,0.049
42,HAUSHALT,thirdParty,Import,0,0.234,0.048,0.144,0.05
43,HAUSHALT,thirdParty,Import,1,0.199,0.048,0.22,0.049
44,HAUSHALT,thirdParty,EE,0,0.093,0.048,0.078,0.05
45,HAUSHALT,thirdParty,EE,1,0.057,0.048,0.154,0.049
46,HAUSHALT,thirdParty,Domestic,0,0.054,0.048,0.056,0.05
47,HAUSHALT,thirdParty,Domestic,1,0.019,0.047,0.132,0.049
48,HAUSHALT,ownDeveloped,Import,0,0.306,0.048,0.175,0.05
49,HAUSHALT,ownDeveloped,Import,1,0.271,0.048,0.251,0.049
50,HAUSHALT,ownDeveloped,EE,0,0.165,0.048,0.108,0.05
51,HAUSHALT,ownDeveloped,EE,1,0.129,0.048,0.184,0.049
52,HAUSHALT,ownDeveloped,Domestic,0,0.126,0.048,0.086,0.05
53,HAUSHALT,ownDeveloped,Domestic,1,0.091,0.048,0.162,0.049
54,HAUSHALT,whiteLabel,Import,0,0.246,0.048,0.15,0.05
55,HAUSHALT,whiteLabel,Import,1,0.211,0.048,0.226,0.049
56,HAUSHALT,whiteLabel,EE,0,0.104,0.048,0.084,0.05
57,HAUSHALT,whiteLabel,EE,1,0.069,0.048,0.16,0.049
58,HAUSHALT,whiteLabel,Domestic,0,0.066,0.048,0.062,0.05
59,HAUSHALT,whiteLabel,Domestic,1,0.03,0.047,0.138,0.049
60,ESSZIMMERTISCHE,exclusive,Import,0,0.559,0.014,0.432,0.021
61,ESSZIMMERTISCHE,exclusive,Import,1,0.524,0.014,0.439,0.026
62,ESSZIMMERTISCHE,exclusive,EE,0,0.418,0.013,0.365,0.021
63,ESSZIMMERTISCHE,exclusive,EE,1,0.382,0.012,0.372,0.026
64,ESSZIMMERTISCHE,exclusive,Domestic,0,0.379,0.012,0.343,0.021
65,ESSZIMMERTISCHE,exclusive,Domestic,1,0.343,0.012,0.35,0.026
66,ESSZIMMERTISCHE,other,Import,0,0.489,0.015,0.416,0.021
67,ESSZIMMERTISCHE,other,Import,1,0.454,0.015,0.423,0.026
68,ESSZIMMERTISCHE,other,EE,0,0.348,0.014,0.349,0.021
69,ESSZIMMERTISCHE,other,EE,1,0.313,0.013,0.356,0.026
70,ESSZIMMERTISCHE,other,Domestic,0,0.309,0.013,0.327,0.021
71,ESSZIMMERTISCHE,other,Domestic,1,0.274,0.013,0.334,0.026
72,ESSZIMMERTISCHE,thirdParty,Import,0,0.479,0.015,0.402,0.021
73,ESSZIMMERTISCHE,thirdParty,Import,1,0.443,0.015,0.409,0.026
74,ESSZIMMERTISCHE,thirdParty,EE,0,0.337,0.014,0.335,0.021
75,ESSZIMMERTISCHE,thirdParty,EE,1,0.302,0.013,0.342,0.026
76,ESSZIMMERTISCHE,thirdParty,Domestic,0,0.298,0.013,0.313,0.021
77,ESSZIMMERTISCHE,thirdParty,Domestic,1,0.263,0.013,0.32,0.026
78,ESSZIMMERTISCHE,ownDeveloped,Import,0,0.551,0.015,0.432,0.021
79,ESSZIMMERTISCHE,ownDeveloped,Import,1,0.516,0.015,0.439,0.026
80,ESSZIMMERTISCHE,ownDeveloped,EE,0,0.409,0.014,0.365,0.021
81,ESSZIMMERTISCHE,ownDeveloped,EE,1,0.374,0.014,0.372,0.026
82,ESSZIMMERTISCHE,ownDeveloped,Domestic,0,0.371,0.014,0.343,0.021
83,ESSZIMMERTISCHE,ownDeveloped,Domestic,1,0.335,0.013,0.35,0.026
84,ESSZIMMERTISCHE,whiteLabel,Import,0,0.491,0.015,0.408,0.021
85,ESSZIMMERTISCHE,whiteLabel,Import,1,0.455,0.015,0.415,0.026
86,ESSZIMMERTISCHE,whiteLabel,EE,0,0.349,0.013,0.341,0.021
87,ESSZIMMERTISCHE,whiteLabel,EE,1,0.314,0.013,0.348,0.026
88,ESSZIMMERTISCHE,whiteLabel,Domestic,0,0.31,0.013,0.319,0.021
89,ESSZIMMERTISCHE,whiteLabel,Domestic,1,0.275,0.013,0.326,0.026
90,LEUCHTEN,exclusive,Import,0,0.531,0.014,0.384,0.02
91,LEUCHTEN,exclusive,Import,1,0.496,0.014,0.425,0.025
92,LEUCHTEN,exclusive,EE,0,0.389,0.013,0.317,0.02
93,LEUCHTEN,exclusive,EE,1,0.354,0.012,0.358,0.025
94,LEUCHTEN,exclusive,Domestic,0,0.351,0.012,0.295,0.02
95,LEUCHTEN,exclusive,Domestic,1,0.315,0.012,0.336,0.025
96,LEUCHTEN,other,Import,0,0.461,0.015,0.369,0.021
97,LEUCHTEN,other,Import,1,0.426,0.015,0.41,0.025
98,LEUCHTEN,other,EE,0,0.32,0.014,0.302,0.021
99,LEUCHTEN,other,EE,1,0.284,0.013,0.343,0.025
100,LEUCHTEN,other,Domestic,0,0.281,0.013,0.28,0.021
101,LEUCHTEN,other,Domestic,1,0.246,0.013,0.321,0.025
102,LEUCHTEN,thirdParty,Import,0,0.451,0.015,0.354,0.021
103,LEUCHTEN,thirdParty,Import,1,0.415,0.014,0.395,0.025
104,LEUCHTEN,thirdParty,EE,0,0.309,0.013,0.287,0.021
105,LEUCHTEN,thirdParty,EE,1,0.274,0.013,0.328,0.025
