,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err,beta_one,beta_one_err
0,TEPPICHE & BODENBELÄGE,exclusive,Import,mto,0.43,0.012,0.346,0.295
1,TEPPICHE & BODENBELÄGE,exclusive,Import,wh,0.437,0.012,0.413,0.032
2,TEPPICHE & BODENBELÄGE,exclusive,Import,dropship,0.426,0.012,0.446,0.028
3,TEPPICHE & BODENBELÄGE,exclusive,EE,mto,0.364,0.012,0.279,0.295
4,TEPPICHE & BODENBELÄGE,exclusive,EE,wh,0.371,0.012,0.346,0.032
5,TEPPICHE & BODENBELÄGE,exclusive,EE,dropship,0.36,0.012,0.379,0.028
6,TEPPICHE & BODENBELÄGE,exclusive,Domestic,mto,0.336,0.012,0.257,0.295
7,TEPPICHE & BODENBELÄGE,exclusive,Domestic,wh,0.343,0.012,0.324,0.032
8,TEPPICHE & BODENBELÄGE,exclusive,Domestic,dropship,0.332,0.012,0.357,0.028
9,TEPPICHE & BODENBELÄGE,other,Import,mto,0.415,0.012,0.33,0.295
10,TEPPICHE & BODENBELÄGE,other,Import,wh,0.422,0.012,0.396,0.032
11,TEPPICHE & BODENBELÄGE,other,Import,dropship,0.411,0.012,0.429,0.028
12,TEPPICHE & BODENBELÄGE,other,EE,mto,0.349,0.012,0.263,0.295
13,TEPPICHE & BODENBELÄGE,other,EE,wh,0.356,0.012,0.329,0.032
14,TEPPICHE & BODENBELÄGE,other,EE,dropship,0.345,0.012,0.362,0.028
15,TEPPICHE & BODENBELÄGE,other,Domestic,mto,0.321,0.012,0.241,0.295
16,TEPPICHE & BODENBELÄGE,other,Domestic,wh,0.328,0.012,0.308,0.032
17,TEPPICHE & BODENBELÄGE,other,Domestic,dropship,0.317,0.012,0.341,0.028
18,TEPPICHE & BODENBELÄGE,thirdParty,Import,mto,0.403,0.012,0.315,0.295
19,TEPPICHE & BODENBELÄGE,thirdParty,Import,wh,0.409,0.012,0.382,0.032
20,TEPPICHE & BODENBELÄGE,thirdParty,Import,dropship,0.398,0.012,0.415,0.028
21,TEPPICHE & BODENBELÄGE,thirdParty,EE,mto,0.337,0.012,0.248,0.295
22,TEPPICHE & BODENBELÄGE,thirdParty,EE,wh,0.344,0.012,0.315,0.032
23,TEPPICHE & BODENBELÄGE,thirdParty,EE,dropship,0.332,0.012,0.348,0.028
24,TEPPICHE & BODENBELÄGE,thirdParty,Domestic,mto,0.309,0.012,0.227,0.295
25,TEPPICHE & BODENBELÄGE,thirdParty,Domestic,wh,0.316,0.012,0.293,0.032
26,TEPPICHE & BODENBELÄGE,thirdParty,Domestic,dropship,0.304,0.012,0.326,0.028
27,TEPPICHE & BODENBELÄGE,ownDeveloped,Import,mto,0.431,0.012,0.346,0.295
28,TEPPICHE & BODENBELÄGE,ownDeveloped,Import,wh,0.438,0.012,0.413,0.032
29,TEPPICHE & BODENBELÄGE,ownDeveloped,Import,dropship,0.426,0.012,0.446,0.028
30,TEPPICHE & BODENBELÄGE,ownDeveloped,EE,mto,0.365,0.012,0.279,0.295
31,TEPPICHE & BODENBELÄGE,ownDeveloped,EE,wh,0.372,0.012,0.346,0.032
32,TEPPICHE & BODENBELÄGE,ownDeveloped,EE,dropship,0.36,0.012,0.379,0.028
33,TEPPICHE & BODENBELÄGE,ownDeveloped,Domestic,mto,0.337,0.012,0.258,0.295
