,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000005727,-0.046,0.0073,0.0003,0.0007,15,True
000000001000091265,-0.0553,0.0092,-0.0029,0.0028,8,True
000000001000016014,-0.0409,0.0076,-0.0011,0.0006,18,True
000000001000008124,-0.0394,0.0086,-0.0047,0.0023,6,True
000000001000007432,-0.0589,0.0094,-0.0003,0.001,20,True
000000001000063745,-0.0352,0.0047,-0.0005,0.0005,8,True
000000001000008142,-0.0465,0.0077,0.0004,0.0012,11,True
000000001000024323,-0.0666,0.02,-0.0004,0.0024,12,True
000000001000024281,-0.1024,0.0275,-0.0111,0.0076,8,True
000000001000024683,-0.0776,0.0132,-0.0074,0.0037,12,True
000000001000008841,-0.0439,0.0065,-0.0004,0.0008,12,True
000000001000112681,-0.0573,0.0105,0.0003,0.0009,17,True
000000001000007449,-0.0545,0.0076,-0.0007,0.0007,16,True
000000001000091288,-0.0486,0.016,-0.0007,0.0032,4,True
000000001000118440,-0.0845,0.0186,-0.026,0.004,10,True
000000001000123390,-0.0391,0.0063,-0.0007,0.0009,14,True
000000001000064492,-0.0749,0.0203,0.0016,0.0019,10,True
000000001000175647,-0.1021,0.0143,-0.0249,0.0058,11,True
000000001000092579,-0.0736,0.0143,-0.0093,0.0037,9,True
000000001000123214,-0.0571,0.0084,-0.0016,0.001,15,True
000000001000110284,-0.0418,0.011,-0.0048,0.0021,10,True
000000001000024328,-0.0722,0.0132,-0.0077,0.0037,10,True
000000001000091266,-0.0608,0.0102,-0.0051,0.0031,11,True
000000001000064697,-0.0401,0.0051,-0.0029,0.0019,7,True
000000001000007431,-0.0672,0.0104,0.0007,0.0012,20,True
000000001000015989,-0.0488,0.0064,-0.0044,0.0009,18,True
000000001000024325,-0.0648,0.0184,-0.0101,0.0044,10,True
000000001000008146,-0.0505,0.0098,-0.0038,0.0025,11,True
000000001000022708,-0.1061,0.015,-0.0245,0.0058,11,True
000000001000016131,-0.0514,0.0069,-0.0017,0.0006,18,True
000000001000112303,-0.0707,0.0176,-0.011,0.01,10,True
000000001000015943,-0.0572,0.0096,-0.0105,0.0026,13,True
000000001000016101,-0.0461,0.0062,-0.0018,0.0008,18,True
000000001000016129,-0.0444,0.0063,-0.003,0.0007,19,True
000000001000152739,-0.0412,0.0064,0.0003,0.0002,16,True
000000001000175682,-0.0831,0.0199,-0.0249,0.0054,10,True
000000001000007448,-0.0597,0.0081,-0.0064,0.0014,15,True
000000001000080483,-0.2494,0.0215,-0.0359,0.0172,1,True
000000001000008058,-0.0349,0.0048,-0.0007,0.0015,9,True
000000001000091264,-0.0661,0.0119,-0.0076,0.0031,11,True
000000001000153364,-0.039,0.0056,0.0003,0.0002,16,True
000000001000009867,-0.0491,0.0125,-0.0003,0.0008,8,True
000000001000011438,-0.0359,0.0107,-0.0002,0.0007,11,True
000000001000009278,-0.0496,0.012,-0.0005,0.0007,10,True
000000001000022573,-0.1041,0.0122,-0.0251,0.0048,14,True
000000001000091298,-0.0858,0.0149,-0.0072,0.0038,12,True
000000001000118291,-0.0391,0.0061,-0.0045,0.0016,15,True
000000001000118226,-0.0423,0.0081,0.0002,0.0002,5,True
000000001000007215,-0.0423,0.0088,-0.0001,0.0011,19,True
000000001000024947,-0.0576,0.0126,-0.0063,0.0029,11,True
000000001000080460,-0.0457,0.0117,0.0,0.0,1,True
000000001000008482,-0.0516,0.0106,-0.002,0.0011,13,True
000000001000040294,-0.0396,0.0097,-0.0018,0.0009,17,True
000000001000024315,-0.084,0.0187,-0.0115,0.0041,10,True
000000001000015678,-0.0363,0.0074,0.0,0.0008,17,True
000000001000058325,-0.0366,0.0096,-0.0028,0.0014,8,True
000000001000022710,-0.0804,0.016,-0.0247,0.0048,12,True
000000001000022586,-0.0845,0.02,-0.0241,0.0058,10,True
000000001000008143,-0.043,0.0087,0.0005,0.0014,8,True
000000001000117274,-0.0474,0.008,-0.0022,0.0009,16,True
000000001000118144,-0.0407,0.0087,-0.0007,0.0009,19,True
000000001000176709,-0.0412,0.0076,0.0003,0.0006,15,True
000000001000178559,-0.038,0.0093,-0.0002,0.0005,13,True
000000001000059372,-0.0359,0.0084,-0.0023,0.0012,9,True
000000001000022709,-0.1055,0.015,-0.0247,0.0057,12,True
000000001000169134,-0.0352,0.0089,-0.0038,0.0009,4,True
000000001000025087,-0.0764,0.016,-0.0027,0.009,8,True
000000001000157255,-0.0526,0.0049,-0.0048,0.003,8,True
000000001000022575,-0.0994,0.0188,-0.0292,0.0129,4,True
000000001000008204,-0.042,0.0063,-0.0009,0.0005,10,True
000000001000178468,-0.0699,0.011,0.0001,0.0013,17,True
000000001000123139,-0.0377,0.0063,-0.0004,0.0007,15,True
000000001000022562,-0.103,0.0139,-0.0219,0.0079,12,True
000000001000006302,-0.0429,0.0082,-0.0038,0.0011,7,True
000000001000091289,-0.0586,0.0174,-0.0014,0.0037,8,True
000000001000123395,-0.0551,0.0102,-0.0112,0.0032,10,True
000000001000022578,-0.1372,0.0203,-0.0273,0.0101,7,True
000000001000016019,-0.065,0.0101,-0.0001,0.001,18,True
000000001000016113,-0.0412,0.0086,0.0003,0.0009,19,True
000000001000016026,-0.0406,0.0085,0.0005,0.0008,19,True
000000001000016097,-0.048,0.0071,-0.0002,0.0011,17,True
000000001000016017,-0.0417,0.0086,-0.0009,0.0009,17,True
000000001000176578,-0.0468,0.0085,-0.0013,0.0012,16,True
000000001000005726,-0.0395,0.0064,-0.0029,0.0009,17,True
000000001000015944,-0.0508,0.0077,-0.0005,0.0008,15,True
000000001000117192,-0.0427,0.0103,0.0001,0.0011,18,True
000000001000015891,-0.0391,0.0046,-0.0034,0.0011,16,True
000000001000016095,-0.0463,0.0081,-0.0006,0.0009,17,True
000000001000125113,-0.037,0.0081,0.0005,0.0006,14,True
000000001000008842,-0.0493,0.0065,-0.0006,0.0004,15,True
000000001000008531,-0.0393,0.0042,-0.0055,0.001,19,True
000000001000009771,-0.0443,0.0117,-0.0004,0.0007,9,True
000000001000015743,-0.0365,0.0049,-0.004,0.002,13,True
000000001000028505,-0.0378,0.0042,-0.0013,0.0005,12,True
000000001000024954,-0.0805,0.0151,-0.0052,0.0052,10,True
000000001000110389,-0.0502,0.0093,-0.008,0.0026,8,True
000000001000015962,-0.0407,0.0075,-0.0014,0.0008,18,True
000000001000092555,-0.1439,0.0266,-0.0124,0.0054,6,True
000000001000016116,-0.0492,0.0075,-0.0002,0.0007,20,True
