,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000007822,-0.0246,0.0073,0.0005,0.0005,12,True
000000001000124600,-0.0234,0.0053,-0.0003,0.0003,18,True
000000001000008827,-0.026,0.0039,-0.0006,0.0003,18,True
000000001000061845,-0.0254,0.006,-0.0037,0.0008,7,True
000000001000123698,-0.0267,0.0046,0.0001,0.0002,14,True
000000001000188832,-0.0292,0.0047,0.0015,0.0005,15,True
000000001000073170,-0.0201,0.0051,-0.0006,0.0004,12,True
000000001000012484,-0.0198,0.0032,-0.0005,0.0004,10,True
000000001000012561,-0.0234,0.0069,-0.0002,0.0002,15,True
000000001000110022,-0.0197,0.0028,-0.0002,0.0005,17,True
000000001000110080,-0.0279,0.0058,0.0015,0.0005,11,True
000000001000007080,-0.0215,0.005,-0.0006,0.0002,13,True
000000001000008867,-0.0304,0.0057,0.001,0.0004,13,True
000000001000008032,-0.0236,0.0059,-0.0015,0.0006,15,True
000000001000128195,-0.0209,0.0056,-0.002,0.0008,16,True
000000001000119939,-0.023,0.0042,-0.0027,0.0009,17,True
000000001000064659,-0.0286,0.0045,0.0003,0.0002,13,True
000000001000138429,-0.0279,0.0067,-0.0034,0.0013,15,True
000000001000012764,-0.0259,0.0077,0.0002,0.0002,15,True
000000001000008080,-0.0285,0.0047,-0.0009,0.0008,12,True
000000001000016049,-0.0227,0.0029,-0.0019,0.0008,15,True
000000001000050875,-0.0266,0.0036,-0.0007,0.0004,18,True
000000001000112858,-0.0343,0.0081,-0.0024,0.0009,9,True
000000001000006093,-0.0308,0.0079,-0.0001,0.0007,14,True
000000001000064337,-0.0229,0.0057,-0.0018,0.0009,15,True
000000001000047976,-0.0199,0.005,-0.0037,0.0009,16,True
000000001000008072,-0.032,0.0045,-0.0028,0.0011,13,True
000000001000057599,-0.0265,0.0077,-0.0048,0.0012,15,True
000000001000110349,-0.0269,0.0047,0.0013,0.0026,7,True
