,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000005727,-0.0308,0.0049,-0.0002,0.0006,16,True
000000001000007327,-0.031,0.0055,-0.0033,0.0009,17,True
000000001000007822,-0.03,0.009,0.0004,0.0007,13,True
000000001000050787,-0.0337,0.01,-0.0025,0.0019,18,True
000000001000117179,-0.0353,0.0085,-0.0004,0.0003,18,True
000000001000008470,-0.0449,0.0077,-0.0023,0.0007,14,True
000000001000174905,-0.0308,0.0042,-0.0016,0.0006,8,True
000000001000176716,-0.0328,0.0049,0.0002,0.0004,20,True
000000001000022615,-0.0693,0.0142,-0.0161,0.0057,10,True
000000001000032520,-0.0441,0.0048,0.0012,0.0025,12,True
000000001000039244,-0.0847,0.0244,-0.0064,0.0049,6,True
000000001000091265,-0.0406,0.0069,-0.003,0.0018,8,True
000000001000199454,-0.0295,0.0062,0.0003,0.0037,9,True
000000001000008474,-0.0357,0.01,-0.0014,0.0007,10,True
000000001000008491,-0.0377,0.0066,-0.0005,0.0005,17,True
000000001000024943,-0.0532,0.0121,0.0002,0.0011,10,True
000000001000110285,-0.041,0.0103,0.0004,0.0011,10,True
000000001000184194,-0.0385,0.0091,-0.0002,0.0006,16,True
000000001000012520,-0.0346,0.0106,-0.0001,0.0006,11,True
000000001000016014,-0.0324,0.0058,-0.0007,0.0004,19,True
000000001000025074,-0.0544,0.0104,-0.0044,0.0033,7,True
000000001000008124,-0.0357,0.0074,0.0,0.0008,8,True
000000001000005773,-0.0729,0.0162,-0.0064,0.0035,16,True
000000001000095636,-0.0374,0.0091,-0.0042,0.0032,12,True
000000001000008796,-0.0464,0.013,0.0006,0.0015,15,True
000000001000012552,-0.0391,0.0073,-0.0012,0.0006,18,True
000000001000050850,-0.0459,0.0066,-0.0002,0.0007,15,True
000000001000056199,-0.0403,0.0122,0.0012,0.0013,7,True
000000001000124809,-0.0317,0.0068,-0.0063,0.0029,15,True
000000001000150712,-0.0309,0.0082,-0.0011,0.0008,13,True
000000001000110396,-0.0338,0.0038,0.0012,0.0007,17,True
000000001000129416,-0.0428,0.0035,0.0013,0.001,15,True
000000001000130667,-0.0552,0.0109,-0.0063,0.004,9,True
000000001000007432,-0.0502,0.0067,0.0002,0.0006,21,True
000000001000015990,-0.0421,0.0049,-0.0038,0.0006,19,True
000000001000024310,-0.0799,0.013,-0.0077,0.0023,11,True
000000001000136936,-0.0402,0.0084,0.0018,0.0008,13,True
000000001000016002,-0.0438,0.0054,-0.0029,0.0008,19,True
000000001000183807,-0.0308,0.0099,0.0013,0.0008,11,True
000000001000006082,-0.0385,0.0103,-0.0041,0.0017,14,True
000000001000117175,-0.1374,0.0314,-0.0056,0.0024,11,True
000000001000128007,-0.0324,0.0076,0.0017,0.0006,11,True
000000001000024944,-0.072,0.0189,-0.0098,0.005,6,True
000000001000007776,-0.0392,0.0048,-0.0,0.0002,15,True
000000001000008540,-0.0344,0.0035,-0.0044,0.0008,20,True
000000001000092348,-0.0514,0.0152,-0.007,0.0029,13,True
000000001000110390,-0.0428,0.0089,0.0006,0.0006,11,True
000000001000176729,-0.0422,0.0116,-0.0033,0.0011,16,True
000000001000008142,-0.0383,0.0058,0.0004,0.0007,14,True
000000001000145703,-0.237,0.0595,-0.0052,0.0176,6,True
000000001000153549,-0.0357,0.0057,0.0014,0.0009,15,True
000000001000016109,-0.036,0.006,-0.0005,0.0005,19,True
000000001000169678,-0.0456,0.0118,-0.0013,0.0022,15,True
