,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000116614,-0.0107,0.0023,-0.0014,0.0002,14,True
000000001000164660,-0.0034,0.0008,0.0,0.0001,14,True
000000001000174312,-0.0123,0.0024,0.0003,0.0002,17,True
000000001000012817,-0.0149,0.003,0.0001,0.0001,21,True
000000001000027423,-0.0112,0.0023,-0.001,0.0003,13,True
000000001000156992,-0.0102,0.0025,-0.0002,0.0003,17,True
000000001000119830,-0.0116,0.0026,-0.001,0.0003,10,True
000000001000166806,-0.012,0.0029,0.0001,0.0001,15,True
000000001000167289,-0.0103,0.0022,0.0,0.0001,17,True
000000001000191237,-0.0112,0.0026,0.0003,0.0001,14,True
000000001000119198,-0.0161,0.0038,0.0001,0.0001,15,True
000000001000054183,-0.0126,0.0022,-0.0003,0.0004,19,True
000000001000173830,-0.0151,0.0046,-0.0006,0.0009,14,True
000000001000054984,-0.0149,0.0049,-0.0002,0.0001,11,True
000000001000064530,-0.0154,0.0027,-0.0008,0.0003,15,True
000000001000092325,-0.0128,0.0034,-0.0006,0.0004,18,True
000000001000012569,-0.009,0.0026,0.0003,0.0001,17,True
000000001000103647,-0.012,0.0034,-0.0011,0.0004,15,True
000000001000012836,-0.0149,0.0035,-0.0,0.0003,17,True
000000001000051675,-0.0147,0.003,0.0001,0.0002,14,True
000000001000054039,-0.0121,0.0027,0.0003,0.0002,17,True
000000001000071068,-0.0091,0.0024,-0.0019,0.0005,13,True
000000001000008748,-0.0144,0.0037,0.0,0.0001,18,True
000000001000126038,-0.014,0.0043,-0.0019,0.0006,18,True
000000001000073170,-0.0138,0.0041,-0.0006,0.0003,13,True
000000001000084378,-0.0097,0.003,0.0005,0.0005,9,True
000000001000016048,-0.0144,0.0026,-0.0008,0.0002,15,True
000000001000027430,-0.0142,0.0033,-0.0024,0.0004,18,True
000000001000092353,-0.0082,0.0021,0.0002,0.0002,15,True
000000001000133164,-0.0167,0.0048,0.0004,0.0003,13,True
000000001000086539,-0.0089,0.0022,-0.0007,0.0001,19,True
000000001000124055,-0.0126,0.0022,0.0004,0.0002,16,True
000000001000054797,-0.0152,0.003,-0.0002,0.0002,15,True
