,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000012530,-0.0226,0.007,-0.0001,0.0005,15,True
000000001000021922,-0.0199,0.0026,-0.0038,0.0005,17,True
000000001000176734,-0.0219,0.0035,-0.0001,0.0003,15,True
000000001000124600,-0.0202,0.0037,-0.0002,0.0002,18,True
000000001000159178,-0.022,0.0059,-0.0008,0.0004,10,True
000000001000008827,-0.0225,0.0026,-0.0003,0.0002,20,True
000000001000007325,-0.017,0.0046,-0.0003,0.0004,17,True
000000001000061845,-0.0213,0.0052,-0.0029,0.0006,11,True
000000001000065698,-0.0269,0.0059,0.0008,0.0004,15,True
000000001000153506,-0.0182,0.0048,-0.0,0.0006,14,True
000000001000007079,-0.0175,0.0027,-0.0017,0.0004,19,True
000000001000006373,-0.0181,0.0044,-0.0008,0.0009,11,True
000000001000050884,-0.0179,0.004,-0.0,0.0002,21,True
000000001000054980,-0.0177,0.0036,0.0002,0.0001,12,True
000000001000080491,-0.0191,0.0047,-0.0032,0.0006,17,True
000000001000123698,-0.0182,0.0035,-0.0002,0.0001,17,True
000000001000118214,-0.0265,0.004,0.0001,0.0002,19,True
000000001000123220,-0.0229,0.0032,-0.0017,0.0005,17,True
000000001000006422,-0.0197,0.0047,-0.0012,0.0008,10,True
000000001000022411,-0.0227,0.0049,-0.0,0.0006,16,True
000000001000097073,-0.017,0.0041,-0.0024,0.0006,10,True
000000001000123763,-0.0263,0.0069,-0.0027,0.0008,14,True
000000001000188832,-0.028,0.004,0.0013,0.0004,16,True
000000001000151262,-0.02,0.0058,-0.0009,0.0004,10,True
000000001000012484,-0.018,0.0023,-0.0005,0.0003,11,True
000000001000016142,-0.0269,0.0055,-0.001,0.0007,18,True
000000001000063745,-0.0242,0.0029,-0.0006,0.0003,11,True
000000001000110022,-0.0174,0.0021,-0.0004,0.0004,19,True
000000001000110080,-0.0249,0.0043,0.0017,0.0003,11,True
000000001000117280,-0.0209,0.004,-0.0005,0.0005,15,True
000000001000007080,-0.018,0.0037,-0.0005,0.0001,13,True
000000001000008029,-0.0243,0.0057,-0.0007,0.0004,14,True
000000001000008867,-0.0219,0.0035,0.0003,0.0002,17,True
000000001000047992,-0.0173,0.0036,-0.0008,0.0004,15,True
000000001000118223,-0.0202,0.0038,-0.0019,0.0008,19,True
000000001000109991,-0.0254,0.0064,0.0019,0.0009,18,True
000000001000008032,-0.0227,0.0046,-0.0015,0.0005,15,True
000000001000123475,-0.0178,0.0036,0.0001,0.0003,15,True
000000001000179476,-0.0234,0.0046,-0.0003,0.0008,15,True
000000001000183774,-0.0233,0.0072,-0.0019,0.0021,13,True
000000001000125893,-0.0268,0.0082,0.0001,0.0003,13,True
000000001000008005,-0.025,0.0031,-0.0024,0.0007,21,True
000000001000119939,-0.0195,0.0034,-0.0024,0.0006,18,True
000000001000178551,-0.0275,0.0037,-0.0001,0.0004,8,True
000000001000048014,-0.026,0.0032,-0.0023,0.0006,17,True
000000001000005759,-0.0267,0.0074,-0.0066,0.0011,15,True
