,item_code,item_price_x,max_date,delivery_weeks,sales_pe,sales_pe_err,beta_del_week,beta_del_week_err,intercept,intercept_err,pc2,item_skey
0,1000012836,319.99,2021-02-01,2,-1.7665,0.4977,-0.0437,0.0364,11.882,3.2396,186.41,227644242866118
1,1000016121,249.99,2021-02-21,1,-2.6608,0.5909,-0.0939,0.0304,16.2375,3.4285,130.33,40600078796222
2,1000054054,349.99,2021-02-25,4,-1.1775,0.23600000000000002,-0.0131,0.0064,7.365,1.2319,177.05,258578614695714
3,1000064483,51.99,2021-02-19,3,-3.6067,0.8091,-0.0383,0.0348,21.8127,4.7247,30.64,277856157534661
4,1000076400,329.99,2021-02-25,4,-1.5430000000000001,0.4513,-0.0243,0.0097,9.2073,2.6341,197.69,220435172610426
5,1000128161,124.99,2021-02-25,1,-1.3715,0.3845,0.0057,0.012,6.8389,1.9341,72.129,180621280061822
6,1000147156,429.99,2021-02-25,5,-3.222,0.36700000000000005,-0.0276,0.0102,18.8254,2.0617,161.22,232337232737743
7,1000182808,1049.99,2021-02-25,2,-5.0703,1.455,0.1541,0.1588,34.1513,9.7325,335.19,19647339763936
8,1000211528,94.99,2021-02-25,1,-3.0563,0.591,-0.0927,0.0373,16.005,2.9894,50.789,48817714062240
9,1000007431,104.99,2021-01-27,4,-22.3379,2.9377,-0.114,0.1443,103.6526,13.5207,42.99,73591042629309
10,1000008030,229.99,2021-02-22,2,-2.3235,0.406,-0.069,0.0178,16.6206,2.8286,103.55,166122491071574
11,1000008789,124.99,2020-12-30,1,-3.1111,0.6883,-0.037000000000000005,0.0111,17.0682,3.6394,96.0,19968398718001
12,1000048003,349.99,2021-02-25,2,-2.3721,0.5706,0.001,0.0125,14.1651,3.097,168.4,33009929417484
13,1000087583,199.99,2021-02-15,9,-1.7298,0.4018,-0.0314,0.0068,9.4184,2.0739,114.22,191583886188344
14,1000101087,249.99,2021-02-25,3,-2.1067,0.46799999999999997,-0.0102,0.0066,12.6835,2.8088,152.259,127764241568821
15,1000101103,249.99,2020-10-23,3,-1.6326,0.5013,-0.006999999999999999,0.0063,9.9153,2.8896,143.16,70121275023858
16,1000121623,469.99,2021-01-14,5,-2.0382,0.4264,-0.0248,0.0067,12.2516,2.5166,270.19,148450292983351
17,1000128954,669.99,2021-02-25,5,-1.1454,0.2392,-0.0233,0.0081,7.9948,1.5462,219.569,162926904430731
18,1000151265,579.99,2021-01-14,8,-5.6117,1.3982,0.0514,0.0458,35.6731,8.8088,403.769,164144424516062
19,1000173828,799.99,2021-02-25,5,-1.3840000000000001,0.3224,-0.0169,0.0092,8.9145,2.0257,538.059,154633886297033
20,1000192673,549.99,2020-12-26,5,-1.5118,0.1768,-0.0369,0.0093,10.0209,1.1549,286.069,28355808872414
21,1000213909,549.99,2021-02-14,5,-1.4311,0.3022,-0.0056,0.0048,10.2242,2.117,364.37,264156507032532
22,1000006102,85.99,2021-02-23,2,-4.5451,1.0068,-0.1909,0.0596,22.7235,4.676,41.369,54358093789905
