,item_code,avg_conv_rate,last_price,last_date,avg_unique_views,PE,PE_err,has_enough_stat,pc2,item_skey
0,000000001000012530,0.016219531350040728,99.99,2021-02-13,66.08138736263736,-0.0187,0.0059,True,44.680,247523697279378
1,000000001000012794,0.014916173111257461,259.99,2021-02-25,41.52597402597403,-0.012,0.0052,False,141.050,151936474932722
2,000000001000021922,0.023490245459702064,114.99,2021-02-16,90.11309523809524,-0.0194,0.0025,True,,156995084198890
3,000000001000022179,0.0031213437528168986,479.99,2021-02-06,93.25873910040576,-0.0136,0.0033,True,276.870,11954970507506
4,000000001000024320,0.024532024531024533,119.99,2020-12-01,22.35483870967742,-0.022,0.0097,False,65.109,31827848594342
5,000000001000034743,0.005481390945972513,279.99,2021-02-04,110.20249433106576,-0.0186,0.0048,True,171.030,206871238538442
6,000000001000034762,0.001472713223604786,599.99,2021-02-04,88.04761904761905,-0.003,0.0023,False,331.000,192085517288465
7,000000001000119742,0.0021898003177232236,349.99,2021-02-05,28.2109375,-0.0247,0.01,False,179.860,118864457774015
8,000000001000125896,0.00725756392830782,829.99,2021-01-30,71.68584656084656,-0.0055,0.0038,False,328.880,168012620788218
9,000000001000127678,0.00012212403100775196,1449.99,2021-02-25,58.3008658008658,-0.0031,0.0024,False,987.679,10396424081065
10,000000001000145006,0.004873447305681728,289.99,2021-02-04,188.1904761904762,-0.0086,0.0025,True,188.819,280637889289282
11,000000001000161399,0.01291913289898707,669.99,2021-02-19,27.065162037037037,-0.0065,0.0088,False,464.930,146164006422056
12,000000001000199717,0.001551387596899225,1349.99,2021-02-25,24.49848484848485,-0.0075,0.0049,False,814.309,126915281894573
13,000000001000200909,0.0007009834397539281,1249.99,2021-02-25,162.21114005042574,-0.0059,0.0056,False,836.779,185007068719582
14,000000001000005727,0.017079081037479026,99.99,2021-02-25,170.0990338164251,-0.0246,0.0044,True,40.729,71488185050378
15,000000001000007327,0.01119257340355497,209.99,2021-02-25,46.738461538461536,-0.0229,0.0049,True,71.500,9591881119337
16,000000001000007822,0.013004901170351104,349.99,2021-02-25,24.806451612903224,-0.0241,0.0089,False,107.750,224785681040185
17,000000001000008870,0.0010927030567685588,619.99,2021-02-11,130.85714285714286,-0.0148,0.0036,True,259.209,242371880591990
18,000000001000016028,0.016289539848749274,139.99,2021-02-25,26.446153846153845,-0.0328,0.0057,True,52.430,48800168481821
19,000000001000016120,0.005073181037846274,329.99,2021-02-25,122.04761904761905,-0.005,0.0018,False,127.190,55952455697067
20,000000001000016194,0.01148455058969584,179.99,2021-02-25,49.56923076923077,-0.0114,0.0086,False,64.590,58103166898131
21,000000001000022565,0.02398921150748775,149.99,2020-01-19,25.767045454545453,-0.1456,0.1268,False,111.680,24924066511817
22,000000001000050787,1e-06,369.99,2021-02-20,27.333333333333332,-0.0284,0.0087,True,150.389,50327313240902
23,000000001000104353,0.0010547044994430345,879.99,2021-02-06,126.79761904761904,-0.0037,0.0021,False,422.329,207313610411423
24,000000001000110756,0.005554190180061332,369.99,2021-02-13,70.53113397728558,-0.01,0.0049,False,145.560,200487217084832
25,000000001000114877,0.01852575581003705,119.99,2021-02-25,269.90909090909093,-0.0155,0.0029,True,77.859,25038272605281
26,000000001000116614,0.003762286910590877,529.99,2021-02-05,74.10124716553287,-0.0067,0.0023,False,202.639,263318503441531
27,000000001000117179,0.0029190492751488164,319.99,2021-02-25,104.0336956521739,-0.0242,0.0072,True,142.550,34780482897946
28,000000001000123635,0.008112818437078268,369.99,2021-02-12,38.52074074074074,-0.0105,0.006,False,198.199,120701856307535
29,000000001000128764,0.005904711916405616,164.99,2021-02-11,104.73455207311757,-0.0318,0.0076,True,100.780,231881185838527
30,000000001000151797,0.0029398191290408763,729.99,2020-06-05,233.9375,-0.0019,0.002,False,423.500,272193278534478
31,000000001000159193,0.001618777083067706,849.99,2021-01-18,90.48826530612244,-0.008,0.0027,False,539.759,243018050005606
32,000000001000164660,0.00032511996309818867,729.99,2021-02-25,259.3716194912041,-0.003,0.0007,True,,2300785031506
33,000000001000166801,0.020149259328747133,174.99,2021-02-25,44.92005096352923,-0.0213,0.0033,True,91.040,167211492608660
34,000000001000168702,0.052631062554341926,51.99,2021-02-25,33.498582995951416,0.0846,0.2011,False,37.100,7452747415115
35,000000001000175476,0.055747730901582936,83.99,2021-02-25,80.72222222222223,-0.0505,0.0061,True,48.799,115260611693891
36,000000001000176734,0.007735806629834255,159.99,2021-02-08,100.55555555555556,-0.0149,0.003,True,54.119,38255991794505
37,000000001000178079,0.00392110359012962,529.99,2021-02-25,70.07830687830689,-0.0076,0.0049,False,180.099,275546052781316
38,000000001000183575,0.010765980093766208,209.99,2021-02-18,51.81887755102041,-0.0079,0.0047,False,137.840,65906826950238
39,000000001000183576,0.00842829924085412,249.99,2021-02-25,34.49064939689939,-0.0133,0.0064,False,161.750,21687571143275
40,000000001000185455,0.023306084745762713,129.99,2021-02-25,36.30769230769231,0.0175,0.0981,False,39.430,143465991346429
41,000000001000194074,0.024822180486446917,77.99,2021-02-25,97.43777360850532,-0.0149,0.0036,True,43.439,242522860992899
42,000000001000199674,0.0016349869281045753,919.99,2021-02-25,28.113636363636363,0.0088,0.0103,False,535.710,199375335714241
43,000000001000216193,0.002902860538068784,219.99,2021-01-25,93.22313400884829,-0.0288,0.0114,False,136.470,148474842384330
44,000000001000216767,0.00909190909090909,979.99,2020-09-07,31.428571428571427,-0.0127,0.0076,False,713.960,160187312950916
45,000000001000218264,0.008341616814621389,399.99,2021-02-25,63.8725351037851,-0.0154,0.0111,False,266.699,215803683932252
46,000000001000008003,0.010079636641136641,429.99,2021-02-25,63.20535714285714,-0.0096,0.0028,True,137.900,84087042756332
47,000000001000008470,0.020171674941815362,89.99,2021-02-13,189.55882352941177,-0.0366,0.0073,True,48.500,66003517992621
48,000000001000032238,0.001665450454922132,949.99,2020-11-02,44.795051377597105,-0.0081,0.0035,False,593.159,55118908543253
49,000000001000050845,0.0054428345385008434,669.99,2021-02-07,83.67297979797979,-0.0277,0.0049,True,278.920,205605370420399
50,000000001000052582,0.0032384868842722696,749.99,2021-02-05,105.0648653682418,-0.0114,0.003,True,451.870,229270075861196
51,000000001000064521,0.0008480899688714229,1199.99,2020-05-22,45.62900432900434,-0.007,0.0022,True,748.139,71232050084551
52,000000001000084258,0.00028736884306987403,3299.99,2021-02-17,120.41379310344827,-0.0021,0.0031,False,1416.119,69849851848335
53,000000001000119268,0.008655900598091121,299.99,2021-02-25,117.02111338953443,-0.0163,0.0033,True,90.900,72171059527105
54,000000001000124600,1e-06,379.99,2021-02-14,205.0,-0.0145,0.0034,True,146.020,55393597474959
55,000000001000129145,0.0054588532443905395,179.99,2021-02-22,86.78947368421052,-0.0181,0.0033,True,93.760,92807562060189
56,000000001000138396,0.009342394533762897,189.99,2021-02-21,101.99305555555556,-0.0104,0.0161,False,86.629,14345875489892
57,000000001000159178,0.004235230265467071,329.99,2021-02-21,85.64702380952382,-0.0215,0.0058,True,187.389,168504712280492
58,000000001000166814,0.02231337322515213,164.99,2021-02-25,19.72,-0.0384,0.0083,True,85.590,249510402315032
59,000000001000174312,1e-06,429.99,2021-02-22,83.65277777777777,-0.0096,0.0023,True,144.330,145551551942177
60,000000001000174905,0.003789126132818906,199.99,2021-02-12,86.8888888888889,-0.0245,0.0054,True,115.400,157052607139695
61,000000001000176716,0.008679611422172454,139.99,2021-02-15,59.020833333333336,-0.0258,0.0047,True,43.119,262990028891641
62,000000001000180146,0.00390725,429.99,2020-12-31,142.22222222222223,-0.0022,0.0068,False,164.370,181192477412169
63,000000001000202052,0.0070234719101123595,164.99,2020-10-06,89.0,-0.0164,0.0032,True,110.010,8949408463673
64,000000001000008827,0.004034168742894682,429.99,2021-02-25,138.60282953761214,-0.0136,0.0024,True,145.120,76926321591939
65,000000001000012659,0.00480247021743524,299.99,2021-02-25,83.97222222222221,-0.0033,0.0039,False,129.360,129711289847006
66,000000001000012817,0.008462921353907416,289.99,2021-02-25,125.5625,-0.0128,0.0025,True,157.720,24436568574430
67,000000001000016008,0.01176570588235294,159.99,2021-02-25,42.5,-0.0381,0.0055,True,59.909,44522822228140
68,000000001000016080,0.006919219739105513,149.99,2021-02-25,93.82823269920044,-0.0075,0.004,False,56.100,19985901878296
69,000000001000022615,0.05606309809943999,34.99,2021-02-25,56.03668666695864,-0.0625,0.0131,True,12.359,74462021394914
