,item_code,avg_conv_rate,last_price,last_date,avg_unique_views,Sales_PE,Sales_PE_err,del_week,del_week_err,intercept,intercept_err,pc2,item_skey
0,000000001000024320,0.024532024531024533,119.99,2020-12-01,22.35483870967742,-3.8445,0.8775,-3.5986,1.0213,10.3514,3.807,65.109,31827848594342
1,000000001000034743,0.005481390945972513,279.99,2021-02-04,110.20249433106576,-1.3537,0.3418,-1.3137,0.3618,13.1805,3.4642,171.030,206871238538442
2,000000001000080319,0.007419741984265232,399.99,2021-02-21,98.3,0.319,0.1015,0.335,0.1004,9.3911,1.9848,270.589,77650699045075
3,000000001000127678,0.00012212403100775196,1449.99,2021-02-25,58.3008658008658,-0.762,0.0811,-0.6501,0.0652,6.0331,2.6659,987.679,10396424081065
4,000000001000161399,0.01291913289898707,669.99,2021-02-19,27.065162037037037,1.2021,0.1561,-0.0673,0.3522,3.7073,3.9018,464.930,146164006422056
5,000000001000007327,0.01119257340355497,209.99,2021-02-25,46.738461538461536,0.6402,0.1907,-0.381,0.1626,10.2591,1.9009,71.500,9591881119337
6,000000001000016028,0.016289539848749274,139.99,2021-02-25,26.446153846153845,3.7031,0.988,7.2242,1.5086,33.8588,6.1269,52.430,48800168481821
7,000000001000104353,0.0010547044994430345,879.99,2021-02-06,126.79761904761904,0.1807,0.0428,-0.3615,0.0811,3.0306,1.0629,422.329,207313610411423
8,000000001000110756,0.005554190180061332,369.99,2021-02-13,70.53113397728558,-1.4087,0.4557,-1.404,0.7491,16.6911,4.2975,145.560,200487217084832
9,000000001000114877,0.01852575581003705,119.99,2021-02-25,269.90909090909093,0.9807,0.2326,1.836,0.2822,30.1003,3.0532,77.859,25038272605281
10,000000001000116614,0.003762286910590877,529.99,2021-02-05,74.10124716553287,2.2696,0.4496,0.7845,0.3461,21.3211,3.6502,202.639,263318503441531
11,000000001000117179,0.0029190492751488164,319.99,2021-02-25,104.0336956521739,-1.5135,0.3715,-1.6883,0.8951,8.6434,4.852,142.550,34780482897946
12,000000001000128764,0.005904711916405616,164.99,2021-02-11,104.73455207311757,3.8535,0.2243,0.3071,0.2524,22.9368,3.4679,100.780,231881185838527
13,000000001000166801,0.020149259328747133,174.99,2021-02-25,44.92005096352923,-0.4963,0.1236,-0.2406,0.1779,8.4878,1.1474,91.040,167211492608660
14,000000001000176734,0.007735806629834255,159.99,2021-02-08,100.55555555555556,0.7521,0.2021,-0.7411,0.1938,14.7727,2.0802,54.119,38255991794505
15,000000001000183576,0.00842829924085412,249.99,2021-02-25,34.49064939689939,0.6772,0.2098,1.1601,0.2577,5.9588,2.3788,161.750,21687571143275
16,000000001000183781,0.006538256744807527,429.99,2021-02-25,33.02988880127272,-0.2859,0.0948,-0.2463,0.1067,3.3607,1.7818,217.330,8677200225908
17,000000001000216193,0.002902860538068784,219.99,2021-01-25,93.22313400884829,-3.3126,0.6244,-0.7136,0.4071,25.2245,5.8603,136.470,148474842384330
18,000000001000218264,0.008341616814621389,399.99,2021-02-25,63.8725351037851,2.7706,0.6063,2.2678,0.4945,13.2962,3.3019,266.699,215803683932252
19,000000001000050845,0.0054428345385008434,669.99,2021-02-07,83.67297979797979,-1.0202,0.1305,-1.7217,0.1732,25.026,4.1028,278.920,205605370420399
20,000000001000129145,0.0054588532443905395,179.99,2021-02-22,86.78947368421052,0.5338,0.1597,0.435,0.1528,12.1146,1.4787,93.760,92807562060189
